time (second),average total mass flow rate (kilogram / second),average port diameter (inch),average regression rate (inch / second),average fuel mass flow rate (kilogram / second),oxidiser mass (kilogram),oxidiser mass flow rate (kilogram / second),average total mass flux (kilogram / inch ** 2 / second),oxi fuel ratio,inlet velocity (mile_per_hour),inlet mach,nozzle throat area (inch ** 2),nozzle throat diameter (inch),nozzle naught temp (degree_Fahrenheit),nozzle star temp (degree_Fahrenheit),nozzle star pressure (pound_force_per_square_inch),nozzle star velocity (mile_per_hour),nozzle star mach,nozzle exit mach,nozzle exit area (inch ** 2),nozzle exit diameter (inch),nozzle diffuser length (inch),nozzle exit velocity (mile_per_hour),nozzle thrust (newton)
0.0,0.035304729,1.0001,0.02896,0.0079047,0.3635,0.0274,0.0008385694,3.4663,4.6856,0.0,0.022738,0.170149,4940.3324230934,4411.9367397732,280.5704,2192.5757699071,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3314
0.001,0.0353049165,1.0001,0.02896,0.0079049,0.3635,0.0274,0.0008385253,3.4662,4.6857,0.0,0.022738,0.17015,4940.3324231192,4411.9367397964,280.5704,2192.5757699121,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.332
0.002,0.035305104,1.0002,0.02896,0.0079051,0.3635,0.0274,0.0008384812,3.4661,4.6857,0.0,0.022738,0.17015,4940.3324231449,4411.9367398197,280.5704,2192.5757699171,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3325
0.003,0.0353052914,1.0002,0.02895,0.0079053,0.3634,0.0274,0.0008384371,3.466,4.6857,0.0,0.022738,0.17015,4940.3324231706,4411.9367398429,280.5704,2192.5757699222,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3331
0.004,0.0353054789,1.0003,0.02895,0.0079055,0.3634,0.0274,0.000838393,3.466,4.6857,0.0,0.022738,0.170151,4940.3324231964,4411.9367398661,280.5704,2192.5757699272,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3336
0.005,0.0353056663,1.0003,0.02895,0.0079057,0.3634,0.0274,0.0008383489,3.4659,4.6858,0.0,0.022738,0.170151,4940.3324232221,4411.9367398893,280.5704,2192.5757699322,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3342
0.006,0.0353058537,1.0004,0.02895,0.0079059,0.3634,0.0274,0.0008383048,3.4658,4.6858,0.0,0.022739,0.170152,4940.3324232478,4411.9367399125,280.5704,2192.5757699372,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3347
0.007,0.0353060411,1.0005,0.02895,0.007906,0.3633,0.0274,0.0008382607,3.4657,4.6858,0.0,0.022739,0.170152,4940.3324232735,4411.9367399357,280.5704,2192.5757699422,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3353
0.008,0.0353062285,1.0005,0.02895,0.0079062,0.3633,0.0274,0.0008382167,3.4656,4.6858,0.0,0.022739,0.170153,4940.3324232993,4411.9367399589,280.5704,2192.5757699473,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3358
0.009000000000000001,0.0353064158,1.0006,0.02895,0.0079064,0.3633,0.0274,0.0008381726,3.4655,4.6859,0.0,0.022739,0.170153,4940.332423325,4411.9367399821,280.5704,2192.5757699523,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3364
0.010000000000000002,0.0353066032,1.0006,0.02895,0.0079066,0.3632,0.0274,0.0008381285,3.4655,4.6859,0.0,0.022739,0.170154,4940.3324233507,4411.9367400053,280.5704,2192.5757699573,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3369
0.011000000000000003,0.0353067906,1.0007,0.02895,0.0079068,0.3632,0.0274,0.0008380845,3.4654,4.6859,0.0,0.022739,0.170154,4940.3324233764,4411.9367400285,280.5704,2192.5757699623,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3375
0.012000000000000004,0.0353069779,1.0008,0.02895,0.007907,0.3632,0.0274,0.0008380404,3.4653,4.6859,0.0,0.022739,0.170154,4940.3324234021,4411.9367400517,280.5704,2192.5757699673,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.338
0.013000000000000005,0.0353071652,1.0008,0.02894,0.0079072,0.3632,0.0274,0.0008379964,3.4652,4.686,0.0,0.022739,0.170155,4940.3324234279,4411.9367400749,280.5704,2192.5757699724,1.0,2.8441,0.118,0.3877,0.4059,6551.8485,103.3385
0.014000000000000005,0.0353073525,1.0009,0.02894,0.0079074,0.3631,0.0274,0.0008379524,3.4651,4.686,0.0,0.02274,0.170155,4940.3324234536,4411.9367400981,280.5704,2192.5757699774,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3391
0.015000000000000006,0.0353075398,1.0009,0.02894,0.0079075,0.3631,0.0274,0.0008379083,3.465,4.686,0.0,0.02274,0.170156,4940.3324234793,4411.9367401213,280.5704,2192.5757699824,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3396
0.016000000000000007,0.0353077271,1.001,0.02894,0.0079077,0.3631,0.0274,0.0008378643,3.465,4.686,0.0,0.02274,0.170156,4940.332423505,4411.9367401445,280.5704,2192.5757699874,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3402
0.017000000000000008,0.0353079144,1.001,0.02894,0.0079079,0.3631,0.0274,0.0008378203,3.4649,4.6861,0.0,0.02274,0.170157,4940.3324235307,4411.9367401677,280.5704,2192.5757699924,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3407
0.01800000000000001,0.0353081017,1.0011,0.02894,0.0079081,0.363,0.0274,0.0008377763,3.4648,4.6861,0.0,0.02274,0.170157,4940.3324235564,4411.9367401909,280.5704,2192.5757699974,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3413
0.01900000000000001,0.0353082889,1.0012,0.02894,0.0079083,0.363,0.0274,0.0008377323,3.4647,4.6861,0.0,0.02274,0.170158,4940.3324235821,4411.9367402141,280.5704,2192.5757700025,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3418
0.02000000000000001,0.0353084762,1.0012,0.02894,0.0079085,0.363,0.0274,0.0008376883,3.4646,4.6861,0.0,0.02274,0.170158,4940.3324236078,4411.9367402373,280.5704,2192.5757700075,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3424
0.02100000000000001,0.0353086634,1.0013,0.02894,0.0079087,0.3629,0.0274,0.0008376443,3.4646,4.6862,0.0,0.02274,0.170159,4940.3324236335,4411.9367402605,280.5704,2192.5757700125,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3429
0.022000000000000013,0.0353088506,1.0013,0.02894,0.0079089,0.3629,0.0274,0.0008376003,3.4645,4.6862,0.0,0.02274,0.170159,4940.3324236592,4411.9367402836,280.5704,2192.5757700175,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3435
0.023000000000000013,0.0353090378,1.0014,0.02894,0.007909,0.3629,0.0274,0.0008375564,3.4644,4.6862,0.0,0.022741,0.170159,4940.3324236849,4411.9367403068,280.5704,2192.5757700225,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.344
0.024000000000000014,0.035309225,1.0014,0.02893,0.0079092,0.3629,0.0274,0.0008375124,3.4643,4.6862,0.0,0.022741,0.17016,4940.3324237106,4411.93674033,280.5704,2192.5757700275,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3446
0.025000000000000015,0.0353094122,1.0015,0.02893,0.0079094,0.3628,0.0274,0.0008374684,3.4642,4.6863,0.0,0.022741,0.17016,4940.3324237363,4411.9367403532,280.5704,2192.5757700326,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3451
0.026000000000000016,0.0353095993,1.0016,0.02893,0.0079096,0.3628,0.0274,0.0008374245,3.4641,4.6863,0.0,0.022741,0.170161,4940.332423762,4411.9367403764,280.5704,2192.5757700376,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3457
0.027000000000000017,0.0353097865,1.0016,0.02893,0.0079098,0.3628,0.0274,0.0008373805,3.4641,4.6863,0.0,0.022741,0.170161,4940.3324237877,4411.9367403996,280.5704,2192.5757700426,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3462
0.028000000000000018,0.0353099736,1.0017,0.02893,0.00791,0.3628,0.0274,0.0008373366,3.464,4.6863,0.0,0.022741,0.170162,4940.3324238134,4411.9367404227,280.5704,2192.5757700476,1.0,2.8441,0.1181,0.3877,0.4059,6551.8485,103.3468
